Title,Provider,Language,Certificate,Average Rating,Price Type,Reviews,Cleaned Title
CS50's Introduction to Computer Science,edX,English,Certificate Available,4.59 ★,Free,198 reviews,css introduction computer sci
Introduction to Computer Science and Programming Using Python.,edX,English,Certificate Available,4.49 ★,Free,131 reviews,introduction computer science programming using python
Harvard CS50 – Full Computer Science University Course,freeCodeCamp,English,No Certificate,4.73 ★,Free,834 reviews,harvard cs full computer science university cours
Introduction to Electrical Engineering and Computer Science I,MIT OpenCourseWare,English,No Certificate,4.68 ★,Free,47 reviews,introduction electrical engineering computer sci
CS50's Computer Science for Business Professionals,edX,English,Certificate Available,4.76 ★,Free,21 reviews,css computer science business profession
Computer Science 101,edX,English,Certificate Available,4.11 ★,Free,19 reviews,computer sci
"Internet History, Technology, and Security",Coursera,English,Certificate Available,4.64 ★,Free,42 reviews,internet history technology secur
Computational Social Science Methods,Coursera,English,Certificate Available,4.71 ★,Free,138 reviews,computational social science method
Functional Programming Principles in Scala,Coursera,English,Certificate Available,4.60 ★,Free,65 reviews,functional programming principles scala
CS50's Computer Science for Lawyers,edX,English,Certificate Available,5.00 ★,Free,8 reviews,css computer science lawy
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Coursera,English,Certificate Available,4.93 ★,Free,28 reviews,build modern computer first principles nand tetris projectcentered cours
Computer Simulations,Coursera,English,Certificate Available,4.83 ★,Free,52 reviews,computer simul
Computer Science for Python Programming,edX,English,Certificate Available,0.00 ★,Paid,0 reviews,computer science python program
Computer Science for Data Science,edX,English,Certificate Available,0.00 ★,Paid,0 reviews,computer science data sci
Computer Science for Artificial Intelligence,edX,English,Certificate Available,5.00 ★,Paid,1 review,computer science artificial intellig
Computer Science for Game Development,edX,English,Certificate Available,5.00 ★,Paid,2 reviews,computer science game develop
Computer Science for Web Programming,edX,English,Certificate Available,5.00 ★,Paid,2 reviews,computer science web program
An Introduction to Logic for Computer Science,Coursera,English,Certificate Available,4.67 ★,Free,9 reviews,introduction logic computer sci
Computational Social Science Capstone Project,Coursera,English,Certificate Available,4.71 ★,Free,34 reviews,computational social science capstone project
Computer Science: Programming with a Purpose,Coursera,English,No Certificate,5.00 ★,Free,1283 ratings at Coursera,computer science programming purpos
Introduction to Logic,Coursera,English,Certificate Available,3.40 ★,Free,20 reviews,introduction log
Fundamentals of Computer Science,edX,English,Certificate Available,0.00 ★,Paid,0 reviews,fundamentals computer sci
CS For All: Introduction to Computer Science and Python Programming,edX,English,No Certificate,5.00 ★,Free,4 reviews,cs introduction computer science python program
Introduction to Computer Science and Programming in Python,MIT OpenCourseWare,English,No Certificate,4.60 ★,Free,5 reviews,introduction computer science programming python
Introduction to Computer Science and Programming,edX,English,Certificate Available,0.00 ★,Free,0 reviews,introduction computer science program
Concepts in Computer Science,DataCamp,English,Certificate Available,0.00 ★,Paid,0 reviews,concepts computer sci
Introduction to Computer Science and Programming,edX,English,Certificate Available,0.00 ★,Free,0 reviews,introduction computer science program
Bachelor of Science in Computer Science (BCS) Online Degree,University of the People,English,Certificate Available,0.00 ★,Paid,0 reviews,bachelor science computer science bcs online degre
Associate of Science in Computer Science (ACS) Online Degree,University of the People,English,Certificate Available,0.00 ★,Paid,0 reviews,associate science computer science acs online degre
Introduction to Computer Science and Programming (Fall 2008),MIT OpenCourseWare,English,No Certificate,5.00 ★,Free,1 review,introduction computer science programming fal
Introduction to Software Product Management,Coursera,English,Certificate Available,4.42 ★,Free,12 reviews,introduction software product manag
Mathematics for Computer Science,MIT OpenCourseWare,English,No Certificate,4.00 ★,Free,1 review,mathematics computer sci
Master of Computer Science,Coursera,English,No Certificate,0.00 ★,Paid,0 reviews,master computer sci
Computer Science 101: Master the Theory Behind Programming,Udemy,English,Certificate Available,0.00 ★,Paid,6391 ratings at Udemy,computer science master theory behind program
Introduction to Computer Science and Programming (Spring 2011),MIT OpenCourseWare,English,No Certificate,5.00 ★,Free,1 review,introduction computer science programming spr
Mathematics for Computer Science,Coursera,English,Certificate Available,5.00 ★,Free,242 ratings at Coursera,mathematics computer sci
Computer Science 101 - Computers & Programming for Beginners,Udemy,English,Certificate Available,0.00 ★,Paid,2185 ratings at Udemy,computer science computers programming beginn
CS50's Understanding Technology,edX,English,No Certificate,4.40 ★,Free,15 reviews,css understanding technolog
Foundations of Computer Science,Coursera,English,Certificate Available,0.00 ★,Free,111 ratings at Coursera,foundations computer sci
Computer Science by CrashCourse,Independent,English,No Certificate,5.00 ★,Free,1 review,computer science crashcours
Introduction to Computer Science and Programming,Coursera,English,Certificate Available,5.00 ★,Paid,1 review,introduction computer science program
Computer Science Principles: Digital Information,LinkedIn Learning,English,Certificate Available,0.00 ★,Paid,1291 ratings at LinkedIn Learning,computer science principles digital inform
Computer Science Summer Program (High School) (Live Online),CourseHorse,English,No Certificate,0.00 ★,Paid,52 ratings at CourseHorse,computer science summer program high school live onlin
Accelerated Computer Science Fundamentals,Coursera,English,Certificate Available,0.00 ★,Paid,0 reviews,accelerated computer science fundament
Bachelor of Computer Science,Coursera,English,No Certificate,0.00 ★,Paid,0 reviews,bachelor computer sci
Graduate Certificate in Computer Science,Coursera,English,Certificate Available,0.00 ★,Paid,0 reviews,graduate certificate computer sci
Graduate Diploma in Computer Science,Coursera,English,Certificate Available,0.00 ★,Paid,0 reviews,graduate diploma computer sci
Ace the Computer Science Interview: Strategies for Success,Coursera,English,Certificate Available,0.00 ★,Paid,0 reviews,ace computer science interview strategies success
General Computer Science Lessons,Study.com,English,No Certificate,0.00 ★,Paid,0 reviews,general computer science lesson
MTTC Computer Science (050): Practice & Study Guide,Study.com,English,Certificate Available,0.00 ★,Paid,0 reviews,mttc computer science practice study guid
OAE Computer Information Science (010): Study Guide & Practice,Study.com,English,No Certificate,0.00 ★,Paid,0 reviews,oae computer information science study guide practic
Computer Science: Help and Review,Study.com,English,Certificate Available,0.00 ★,Paid,0 reviews,computer science help review
Praxis 5652 Study Guide - Computer Science Exam Prep,Study.com,English,No Certificate,0.00 ★,Paid,0 reviews,praxis study guide computer science exam prep
Foundations of Computer Science: Theory and Practice,Udemy,English,No Certificate,0.00 ★,Free,746 ratings at Udemy,foundations computer science theory practic
Computer Science Principles: Programming,LinkedIn Learning,English,Certificate Available,0.00 ★,Paid,712 ratings at LinkedIn Learning,computer science principles program
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Coursera,English,Certificate Available,4.71 ★,Free,68 reviews,divide conquer sorting searching randomized algorithm
Cryptography I,Coursera,English,Certificate Available,4.66 ★,Free,53 reviews,cryptographi
